Article No.,Keyword,BestCategory_max,BestSim_max,Sim_max_Human-centred mindset,Sim_max_Ethics of AI,Sim_max_AI techniques and applications,Sim_max_AI system design
2,evaluate,AI system design,0.4728 ,0.2944 ,0.3615 ,0.4068 ,0.4728 
4,manipulation,AI system design,0.4856 ,0.4039 ,0.4437 ,0.4167 ,0.4856 
8,ai device and software applicationplatform operations,AI system design,0.7113 ,0.3544 ,0.4199 ,0.7038 ,0.7113 
8,problem solving,AI system design,0.6759 ,0.1934 ,0.2117 ,0.3291 ,0.6759 
11,understanding ai as software,AI system design,0.7029 ,0.4353 ,0.5880 ,0.6644 ,0.7029 
12,project design layer,AI system design,0.6799 ,0.2465 ,0.4106 ,0.4654 ,0.6799 
12,project rules layer,AI system design,0.4455 ,0.2206 ,0.4081 ,0.4156 ,0.4455 
12,project goals layer,AI system design,0.4510 ,0.2182 ,0.2443 ,0.4002 ,0.4510 
13,programmability of ai,AI system design,0.7677 ,0.4244 ,0.5959 ,0.7469 ,0.7677 
15,functional view of ai,AI system design,0.6692 ,0.4165 ,0.5305 ,0.6692 ,0.6692 
20,action reaction,AI system design,0.4228 ,0.3182 ,0.2100 ,0.3029 ,0.4228 
21,analyzing through,AI system design,0.5135 ,0.3351 ,0.3628 ,0.4289 ,0.5135 
26,prompt engineering,AI system design,0.4729 ,0.3061 ,0.3376 ,0.4692 ,0.4729 
27,problem solving,AI system design,0.6759 ,0.1934 ,0.2117 ,0.3291 ,0.6759 
32,issues,AI system design,0.5519 ,0.3658 ,0.3379 ,0.3919 ,0.5519 
32,environment physical,AI system design,0.4563 ,0.2117 ,0.3112 ,0.2653 ,0.4563 
32,environment digital,AI system design,0.4281 ,0.2681 ,0.3160 ,0.3504 ,0.4281 
33,action and reaction,AI system design,0.4759 ,0.3812 ,0.2705 ,0.2843 ,0.4759 
35,continuous evaluation and adaptation,AI system design,0.5350 ,0.2864 ,0.3165 ,0.3861 ,0.5350 
36,transactional inquiry pathway,AI system design,0.4008 ,0.2717 ,0.3397 ,0.2627 ,0.4008 
37,computational ai thinking,AI system design,0.7051 ,0.3755 ,0.5273 ,0.6965 ,0.7051 
37,ai math logic thinking,AI system design,0.5402 ,0.2982 ,0.5112 ,0.5383 ,0.5402 
37,ai systems thinking,AI system design,0.7851 ,0.4062 ,0.5427 ,0.6433 ,0.7851 
40,engineering design thinking,AI system design,0.7623 ,0.3455 ,0.5531 ,0.3736 ,0.7623 
40,computational thinking,AI system design,0.4623 ,0.4098 ,0.3453 ,0.4541 ,0.4623 
1,evaluation,AI techniques and applications,0.4597 ,0.3767 ,0.3829 ,0.4597 ,0.4004 
2,use apply,AI techniques and applications,0.6100 ,0.2782 ,0.5159 ,0.6100 ,0.3026 
2,create,AI techniques and applications,0.4716 ,0.3162 ,0.4348 ,0.4716 ,0.3875 
3,introduction to ai,AI techniques and applications,0.7721 ,0.4831 ,0.5969 ,0.7721 ,0.7121 
3,ai and the future of work,AI techniques and applications,0.5905 ,0.5001 ,0.4681 ,0.5905 ,0.5272 
3,ai careers,AI techniques and applications,0.5033 ,0.4782 ,0.4549 ,0.5033 ,0.3222 
4,training,AI techniques and applications,0.5531 ,0.3034 ,0.2373 ,0.5531 ,0.2588 
5,learning to recognize artifacts using ai,AI techniques and applications,0.5939 ,0.3213 ,0.4335 ,0.5939 ,0.5439 
5,learning about how ai works,AI techniques and applications,0.7529 ,0.4590 ,0.5783 ,0.7529 ,0.6977 
5,learning tools for ai,AI techniques and applications,0.7797 ,0.4049 ,0.5244 ,0.7797 ,0.6964 
5,learning for life with ai,AI techniques and applications,0.6005 ,0.5246 ,0.5528 ,0.6005 ,0.5528 
6,evaluation,AI techniques and applications,0.4597 ,0.3767 ,0.3829 ,0.4597 ,0.4004 
7,completing specific tasks,AI techniques and applications,0.4150 ,0.2075 ,0.1652 ,0.4150 ,0.3736 
7,digital competences,AI techniques and applications,0.5590 ,0.4450 ,0.4601 ,0.5590 ,0.3955 
7,knowledge of technical basics,AI techniques and applications,0.4948 ,0.2371 ,0.2803 ,0.4948 ,0.3862 
8,careerrelated competences,AI techniques and applications,0.5580 ,0.3205 ,0.2904 ,0.5580 ,0.1756 
8,ai content creation,AI techniques and applications,0.6140 ,0.3107 ,0.4388 ,0.6140 ,0.5104 
8,affective competences,AI techniques and applications,0.5703 ,0.4329 ,0.4462 ,0.5703 ,0.2924 
9,technology,AI techniques and applications,0.4954 ,0.3672 ,0.3638 ,0.4954 ,0.4900 
11,what is ai,AI techniques and applications,0.6860 ,0.4978 ,0.5935 ,0.6860 ,0.6746 
11,what can ai do,AI techniques and applications,0.7094 ,0.4411 ,0.5653 ,0.7094 ,0.6336 
11,how does ai work,AI techniques and applications,0.7520 ,0.4429 ,0.5550 ,0.7520 ,0.7088 
11,how should ai be used,AI techniques and applications,0.7285 ,0.3896 ,0.4916 ,0.7285 ,0.6647 
12,learning tools layer,AI techniques and applications,0.5515 ,0.2240 ,0.2193 ,0.5515 ,0.3680 
13,recognizing ais capabilities,AI techniques and applications,0.6281 ,0.4569 ,0.5123 ,0.6281 ,0.6051 
13,understanding the consequences of ai,AI techniques and applications,0.5924 ,0.4585 ,0.5879 ,0.5924 ,0.5336 
13,skillsapplication of ai,AI techniques and applications,0.7584 ,0.4986 ,0.6132 ,0.7584 ,0.6625 
15,critical view of ai,AI techniques and applications,0.6961 ,0.5411 ,0.6364 ,0.6961 ,0.6444 
16,understanding techniques and concepts,AI techniques and applications,0.5255 ,0.4447 ,0.4295 ,0.5255 ,0.3795 
16,defining and understanding ai,AI techniques and applications,0.7027 ,0.4948 ,0.6522 ,0.7027 ,0.6887 
18,skillsbehavior,AI techniques and applications,0.6525 ,0.3676 ,0.4074 ,0.6525 ,0.3740 
19,learning,AI techniques and applications,0.4552 ,0.3333 ,0.2848 ,0.4552 ,0.2531 
19,generative ai,AI techniques and applications,0.6898 ,0.4483 ,0.5889 ,0.6898 ,0.5858 
19,learningteaching,AI techniques and applications,0.4287 ,0.3403 ,0.2818 ,0.4287 ,0.1864 
19,learninggenerative ai,AI techniques and applications,0.6171 ,0.4540 ,0.5252 ,0.6171 ,0.5526 
20,recognizing ai,AI techniques and applications,0.6592 ,0.4808 ,0.5165 ,0.6592 ,0.5934 
20,ais strengths weaknesses,AI techniques and applications,0.4322 ,0.2231 ,0.3775 ,0.4322 ,0.3381 
20,imagine future ai,AI techniques and applications,0.5767 ,0.4760 ,0.4634 ,0.5767 ,0.5510 
20,human role in ai,AI techniques and applications,0.6697 ,0.5815 ,0.6552 ,0.6697 ,0.6241 
20,programmability,AI techniques and applications,0.5313 ,0.2490 ,0.3549 ,0.5313 ,0.4424 
23,motivating ai use,AI techniques and applications,0.6622 ,0.4211 ,0.5699 ,0.6622 ,0.5931 
23,describing the problem to solve with ai,AI techniques and applications,0.6282 ,0.3524 ,0.4794 ,0.6282 ,0.6115 
23,assessing ai affordances,AI techniques and applications,0.5462 ,0.3097 ,0.4457 ,0.5462 ,0.5157 
23,informing ai use with appropriate information,AI techniques and applications,0.6365 ,0.3639 ,0.4784 ,0.6365 ,0.6120 
23,shaping ai use,AI techniques and applications,0.7344 ,0.3749 ,0.5097 ,0.7344 ,0.7231 
25,intrinsic motivation,AI techniques and applications,0.4841 ,0.3831 ,0.4050 ,0.4841 ,0.2943 
25,use and apply ai,AI techniques and applications,0.7554 ,0.4149 ,0.5408 ,0.7554 ,0.6677 
25,behavioral learning,AI techniques and applications,0.4443 ,0.4310 ,0.3598 ,0.4443 ,0.3569 
26,concepts,AI techniques and applications,0.4773 ,0.4701 ,0.4332 ,0.4773 ,0.4027 
26,specific suggested tools applications,AI techniques and applications,0.6215 ,0.2414 ,0.3263 ,0.6215 ,0.4566 
27,proactive exploration,AI techniques and applications,0.5186 ,0.4063 ,0.3737 ,0.5186 ,0.3847 
28,implementation,AI techniques and applications,0.5259 ,0.4180 ,0.4517 ,0.5259 ,0.4429 
28,optimization,AI techniques and applications,0.5105 ,0.1974 ,0.3091 ,0.5105 ,0.4817 
28,analysis,AI techniques and applications,0.4760 ,0.3670 ,0.3949 ,0.4760 ,0.3937 
28,evaluation,AI techniques and applications,0.4597 ,0.3767 ,0.3829 ,0.4597 ,0.4004 
29,individual competencies,AI techniques and applications,0.5609 ,0.4856 ,0.3197 ,0.5609 ,0.2633 
29,expansion of ai literacy framework,AI techniques and applications,0.5462 ,0.4812 ,0.4646 ,0.5462 ,0.5071 
30,recognize the benefits and limitations of ai tools,AI techniques and applications,0.6899 ,0.4064 ,0.5460 ,0.6899 ,0.6578 
30,additional competencies for understanding ai,AI techniques and applications,0.7048 ,0.5129 ,0.6385 ,0.7048 ,0.6931 
31,implications of using ai in the domain,AI techniques and applications,0.6224 ,0.4672 ,0.5705 ,0.6224 ,0.5525 
31,additional learning resources,AI techniques and applications,0.4976 ,0.2554 ,0.1916 ,0.4976 ,0.2137 
31,learners and their interaction with ai,AI techniques and applications,0.6045 ,0.4958 ,0.5811 ,0.6045 ,0.5637 
31,instructors,AI techniques and applications,0.4398 ,0.4019 ,0.3573 ,0.4398 ,0.2491 
31,learning outcomes,AI techniques and applications,0.4255 ,0.2822 ,0.2556 ,0.4255 ,0.3122 
31,assessment,AI techniques and applications,0.4041 ,0.3967 ,0.3505 ,0.4041 ,0.2919 
31,learning activities,AI techniques and applications,0.6011 ,0.3290 ,0.2773 ,0.6011 ,0.2724 
32,conceptualization of ai,AI techniques and applications,0.7422 ,0.5306 ,0.6544 ,0.7422 ,0.7315 
32,applied knowledge,AI techniques and applications,0.5754 ,0.3851 ,0.4029 ,0.5754 ,0.3803 
32,ai applications and its interdisciplinarity,AI techniques and applications,0.7360 ,0.4401 ,0.5563 ,0.7360 ,0.7004 
32,skills use,AI techniques and applications,0.7439 ,0.3747 ,0.3901 ,0.7439 ,0.3179 
32,critically examine ai tools,AI techniques and applications,0.7396 ,0.3687 ,0.5181 ,0.7396 ,0.6874 
33,recognizing ai,AI techniques and applications,0.6592 ,0.4808 ,0.5165 ,0.6592 ,0.5934 
33,ais strengths and weaknesses,AI techniques and applications,0.4869 ,0.3141 ,0.4554 ,0.4869 ,0.3840 
33,imagine future ai,AI techniques and applications,0.5767 ,0.4760 ,0.4634 ,0.5767 ,0.5510 
33,machine learning steps,AI techniques and applications,0.4810 ,0.2380 ,0.2326 ,0.4810 ,0.4107 
33,human role in ai,AI techniques and applications,0.6697 ,0.5815 ,0.6552 ,0.6697 ,0.6241 
33,programmability,AI techniques and applications,0.5313 ,0.2490 ,0.3549 ,0.5313 ,0.4424 
34,technical skills,AI techniques and applications,0.6607 ,0.3331 ,0.3287 ,0.6607 ,0.3891 
35,capacity building and education,AI techniques and applications,0.4098 ,0.2851 ,0.2266 ,0.4098 ,0.3111 
37,organizational ai security,AI techniques and applications,0.5416 ,0.4731 ,0.5161 ,0.5416 ,0.5100 
37,ai context creation thinking,AI techniques and applications,0.5811 ,0.4431 ,0.4142 ,0.5811 ,0.5382 
37,ai data analysis and management ability,AI techniques and applications,0.6656 ,0.3558 ,0.4499 ,0.6656 ,0.6555 
37,ai exploratory learning and problemsolving ability,AI techniques and applications,0.6029 ,0.3287 ,0.5169 ,0.6029 ,0.5674 
37,ai communication ability,AI techniques and applications,0.4929 ,0.4253 ,0.3745 ,0.4929 ,0.3094 
38,ai features,AI techniques and applications,0.7073 ,0.3890 ,0.4712 ,0.7073 ,0.6536 
38,ai processing,AI techniques and applications,0.7382 ,0.3587 ,0.4776 ,0.7382 ,0.7102 
38,algorithm influences,AI techniques and applications,0.5550 ,0.2408 ,0.4793 ,0.5550 ,0.5077 
39,ai knowledge,AI techniques and applications,0.5895 ,0.4262 ,0.5158 ,0.5895 ,0.5216 
39,ai skills,AI techniques and applications,0.6732 ,0.4168 ,0.5426 ,0.6732 ,0.5001 
40,ai fundamentals,AI techniques and applications,0.4565 ,0.4128 ,0.4121 ,0.4565 ,0.2916 
40,elements of ai technology,AI techniques and applications,0.7568 ,0.4018 ,0.5208 ,0.7568 ,0.7238 
40,application of ai technology,AI techniques and applications,0.8174 ,0.4202 ,0.5322 ,0.8174 ,0.7732 
41,skills,AI techniques and applications,0.7098 ,0.3987 ,0.3921 ,0.7098 ,0.3321 
1,ethics,Ethics of AI,0.9493 ,0.5851 ,0.9493 ,0.3110 ,0.1813 
2,navigate ethically,Ethics of AI,0.6793 ,0.4010 ,0.6793 ,0.2460 ,0.2555 
3,ai and ethics,Ethics of AI,0.8967 ,0.5562 ,0.8967 ,0.5531 ,0.4352 
6,usage,Ethics of AI,0.5324 ,0.3057 ,0.5324 ,0.3813 ,0.2436 
6,ethics,Ethics of AI,0.9493 ,0.5851 ,0.9493 ,0.3110 ,0.1813 
7,a critical approach,Ethics of AI,0.4858 ,0.4728 ,0.4858 ,0.4082 ,0.3401 
7,ethical approach,Ethics of AI,0.8766 ,0.6032 ,0.8766 ,0.2940 ,0.2111 
8,data and algorithm literacy,Ethics of AI,0.4547 ,0.3742 ,0.4547 ,0.4443 ,0.4494 
8,ai ethics,Ethics of AI,0.9632 ,0.5985 ,0.9632 ,0.3124 ,0.1709 
9,ethics,Ethics of AI,0.9493 ,0.5851 ,0.9493 ,0.3110 ,0.1813 
10,ethical,Ethics of AI,0.9249 ,0.6111 ,0.9249 ,0.2938 ,0.1668 
13,understanding ais nature,Ethics of AI,0.5801 ,0.3763 ,0.5801 ,0.5537 ,0.4683 
14,ethical literacy,Ethics of AI,0.7726 ,0.5227 ,0.7726 ,0.2368 ,0.1346 
14,experiential trust,Ethics of AI,0.5426 ,0.3919 ,0.5426 ,0.3105 ,0.0840 
15,rhetorical view of ai,Ethics of AI,0.5927 ,0.5371 ,0.5927 ,0.5793 ,0.4927 
18,ai ethics literacy,Ethics of AI,0.7837 ,0.4896 ,0.7837 ,0.2895 ,0.1665 
20,understanding intelligence,Ethics of AI,0.6002 ,0.4674 ,0.6002 ,0.4782 ,0.4548 
20,interdisciplinarity,Ethics of AI,0.4308 ,0.3724 ,0.4308 ,0.4283 ,0.2618 
20,decisionmaking,Ethics of AI,0.4450 ,0.4143 ,0.4450 ,0.2433 ,0.3370 
20,ethics,Ethics of AI,0.9493 ,0.5851 ,0.9493 ,0.3110 ,0.1813 
20,people perceive ai,Ethics of AI,0.5710 ,0.5148 ,0.5710 ,0.5630 ,0.5652 
23,benefits and risks in situated practice,Ethics of AI,0.5484 ,0.2764 ,0.5484 ,0.3116 ,0.1402 
24,ethical learning,Ethics of AI,0.8177 ,0.5101 ,0.8177 ,0.2955 ,0.1875 
25,selfefficacy,Ethics of AI,0.5065 ,0.4241 ,0.5065 ,0.4229 ,0.1996 
25,behavioral intention,Ethics of AI,0.5136 ,0.5021 ,0.5136 ,0.4279 ,0.3571 
25,ethical learning,Ethics of AI,0.8177 ,0.5101 ,0.8177 ,0.2955 ,0.1875 
26,ethics appropriacy,Ethics of AI,0.9026 ,0.5666 ,0.9026 ,0.2467 ,0.1951 
27,stem for sustainability,Ethics of AI,0.4565 ,0.2427 ,0.4565 ,0.3027 ,0.4198 
27,authentic learning,Ethics of AI,0.4157 ,0.3695 ,0.4157 ,0.3311 ,0.2025 
28,and archiving,Ethics of AI,0.4108 ,0.3703 ,0.4108 ,0.3230 ,0.2908 
29,relational practices,Ethics of AI,0.4739 ,0.4726 ,0.4739 ,0.3677 ,0.2743 
29,ethical implications and decisionmaking,Ethics of AI,0.7724 ,0.5155 ,0.7724 ,0.1458 ,0.1970 
30,analyse ethical considerations in the development and deployment of ai,Ethics of AI,0.8012 ,0.5500 ,0.8012 ,0.6119 ,0.5811 
31,potential ai use cases,Ethics of AI,0.5181 ,0.2249 ,0.5181 ,0.4319 ,0.2753 
32,contextualization of ai literacy,Ethics of AI,0.4723 ,0.4513 ,0.4723 ,0.4619 ,0.4581 
32,ethical,Ethics of AI,0.9249 ,0.6111 ,0.9249 ,0.2938 ,0.1668 
32,legal,Ethics of AI,0.5155 ,0.4622 ,0.5155 ,0.2158 ,0.1852 
32,concerns,Ethics of AI,0.4688 ,0.3602 ,0.4688 ,0.3152 ,0.3742 
32,embodimenttangibility,Ethics of AI,0.4109 ,0.2943 ,0.4109 ,0.3795 ,0.2347 
33,understanding intelligence,Ethics of AI,0.6002 ,0.4674 ,0.6002 ,0.4782 ,0.4548 
33,interdisciplinarity,Ethics of AI,0.4308 ,0.3724 ,0.4308 ,0.4283 ,0.2618 
33,decisionmaking,Ethics of AI,0.4450 ,0.4143 ,0.4450 ,0.2433 ,0.3370 
33,ethics,Ethics of AI,0.9493 ,0.5851 ,0.9493 ,0.3110 ,0.1813 
34,socioethical technical understanding,Ethics of AI,0.5151 ,0.4335 ,0.5151 ,0.2964 ,0.2914 
35,ethical design principles for digital tools,Ethics of AI,0.7911 ,0.3871 ,0.7911 ,0.4690 ,0.4124 
36,creativity,Ethics of AI,0.4596 ,0.3967 ,0.4596 ,0.4233 ,0.3278 
36,transformative inquiry pathway,Ethics of AI,0.4165 ,0.4057 ,0.4165 ,0.3086 ,0.2908 
37,ai safety awareness,Ethics of AI,0.5750 ,0.4211 ,0.5750 ,0.3244 ,0.1908 
37,intellectual property in ai,Ethics of AI,0.6519 ,0.5262 ,0.6519 ,0.6385 ,0.5470 
37,ai selfawareness,Ethics of AI,0.5628 ,0.4620 ,0.5628 ,0.4364 ,0.3550 
37,selfmanagement with ai,Ethics of AI,0.5771 ,0.4852 ,0.5771 ,0.5416 ,0.5128 
37,digital ai empathy,Ethics of AI,0.5362 ,0.4753 ,0.5362 ,0.3548 ,0.2719 
38,user efficacy,Ethics of AI,0.6357 ,0.3328 ,0.6357 ,0.5449 ,0.2548 
38,ethical consideration,Ethics of AI,0.8828 ,0.6129 ,0.8828 ,0.2364 ,0.1794 
39,ai ethics,Ethics of AI,0.9632 ,0.5985 ,0.9632 ,0.3124 ,0.1709 
39,ai attitudes,Ethics of AI,0.6150 ,0.4926 ,0.6150 ,0.5471 ,0.4506 
40,ai and human,Ethics of AI,0.6466 ,0.5447 ,0.6466 ,0.5914 ,0.5454 
40,ai and society,Ethics of AI,0.6027 ,0.5864 ,0.6027 ,0.5987 ,0.5169 
41,access,Ethics of AI,0.4639 ,0.3280 ,0.4639 ,0.4184 ,0.2596 
1,collaboration,Human-centred mindset,0.4514 ,0.4514 ,0.2287 ,0.3546 ,0.2615 
1,autonomy,Human-centred mindset,0.5094 ,0.5094 ,0.4968 ,0.3404 ,0.2558 
2,recognize,Human-centred mindset,0.4031 ,0.4031 ,0.2862 ,0.2772 ,0.2519 
6,awareness,Human-centred mindset,0.4488 ,0.4488 ,0.4006 ,0.3541 ,0.1961 
7,improving everyday life,Human-centred mindset,0.4363 ,0.4363 ,0.2807 ,0.3381 ,0.1582 
8,communication and collaboration,Human-centred mindset,0.4402 ,0.4402 ,0.2528 ,0.3120 ,0.2845 
9,collaboration,Human-centred mindset,0.4514 ,0.4514 ,0.2287 ,0.3546 ,0.2615 
9,selfreflection,Human-centred mindset,0.4122 ,0.4122 ,0.3364 ,0.2467 ,0.3126 
10,affective,Human-centred mindset,0.4045 ,0.4045 ,0.3605 ,0.2962 ,0.2339 
10,behavioural,Human-centred mindset,0.4859 ,0.4859 ,0.4747 ,0.3938 ,0.3825 
10,cognitive,Human-centred mindset,0.5591 ,0.5591 ,0.4297 ,0.3890 ,0.3687 
14,regulatory advocacy,Human-centred mindset,0.5657 ,0.5657 ,0.4982 ,0.3455 ,0.1531 
16,framework for critical questioning,Human-centred mindset,0.4309 ,0.4309 ,0.3325 ,0.3137 ,0.4100 
18,knowledgecognition,Human-centred mindset,0.4172 ,0.4172 ,0.3279 ,0.3606 ,0.3056 
18,attitudesvalues,Human-centred mindset,0.5363 ,0.5363 ,0.5360 ,0.3154 ,0.3012 
22,appraise,Human-centred mindset,0.4364 ,0.4364 ,0.4098 ,0.3635 ,0.2854 
22,communicate,Human-centred mindset,0.4065 ,0.4065 ,0.2573 ,0.3379 ,0.2714 
22,participate,Human-centred mindset,0.4472 ,0.4472 ,0.2862 ,0.3941 ,0.2730 
24,affective learning,Human-centred mindset,0.4408 ,0.4408 ,0.3325 ,0.4256 ,0.2879 
24,behavioural learning,Human-centred mindset,0.4745 ,0.4745 ,0.3549 ,0.4276 ,0.3147 
24,cognitive learning,Human-centred mindset,0.4898 ,0.4898 ,0.3591 ,0.4107 ,0.3037 
25,behavioral engagement,Human-centred mindset,0.4881 ,0.4881 ,0.4171 ,0.4341 ,0.3874 
25,affective learning,Human-centred mindset,0.4408 ,0.4408 ,0.3325 ,0.4256 ,0.2879 
25,cognitive learning,Human-centred mindset,0.4898 ,0.4898 ,0.3591 ,0.4107 ,0.3037 
27,affective engagement,Human-centred mindset,0.4633 ,0.4633 ,0.3350 ,0.3261 ,0.2715 
27,scientific citizenship,Human-centred mindset,0.6140 ,0.6140 ,0.4058 ,0.2646 ,0.1231 
32,recognize,Human-centred mindset,0.4031 ,0.4031 ,0.2862 ,0.2772 ,0.2519 
32,interact and engage with,Human-centred mindset,0.4633 ,0.4633 ,0.3095 ,0.3605 ,0.2609 
32,social aspects,Human-centred mindset,0.4955 ,0.4955 ,0.3768 ,0.2369 ,0.2107 
32,organizational context,Human-centred mindset,0.4822 ,0.4822 ,0.3262 ,0.4090 ,0.3350 
32,people individual context,Human-centred mindset,0.6897 ,0.6897 ,0.3693 ,0.2541 ,0.1481 
33,knowledge representations,Human-centred mindset,0.4002 ,0.4002 ,0.3721 ,0.3632 ,0.3712 
35,participatory governance models,Human-centred mindset,0.4542 ,0.4542 ,0.3215 ,0.2486 ,0.2398 
35,accountability and oversight structures,Human-centred mindset,0.7667 ,0.7667 ,0.4586 ,0.2819 ,0.3063 
36,criticality,Human-centred mindset,0.4267 ,0.4267 ,0.3884 ,0.3050 ,0.2707 
37,content ai interaction,Human-centred mindset,0.4570 ,0.4570 ,0.3759 ,0.4155 ,0.3140 
37,personal ai security,Human-centred mindset,0.5048 ,0.5048 ,0.4424 ,0.3881 ,0.3500 
37,ai cocreation identity,Human-centred mindset,0.4453 ,0.4453 ,0.4162 ,0.3899 ,0.2758 
37,digital ai citizen identity,Human-centred mindset,0.6545 ,0.6545 ,0.4095 ,0.2643 ,0.2165 
37,ai identity management,Human-centred mindset,0.5784 ,0.5784 ,0.4763 ,0.3850 ,0.3221 
37,ai critical thinking,Human-centred mindset,0.5389 ,0.5389 ,0.5183 ,0.4806 ,0.4006 
37,ai contextual understanding ability,Human-centred mindset,0.5045 ,0.5045 ,0.3601 ,0.4739 ,0.2825 
1,knowledge,Others,0.3958 ,0.3632 ,0.3469 ,0.3958 ,0.3075 
2,know understand,Others,0.3359 ,0.3359 ,0.3151 ,0.2743 ,0.2277 
4,probability,Others,0.3144 ,0.2502 ,0.2745 ,0.2288 ,0.3144 
4,context,Others,0.3915 ,0.3915 ,0.2868 ,0.3532 ,0.3102 
9,impact,Others,0.2944 ,0.2710 ,0.2371 ,0.2686 ,0.2944 
12,subjectobject analysis layer,Others,0.3906 ,0.3553 ,0.3429 ,0.3906 ,0.3151 
17,resource constraints and infrastructure limitations,Others,0.3354 ,0.1878 ,0.2578 ,0.2185 ,0.3354 
17,cultural and linguistic diversity,Others,0.2614 ,0.2614 ,0.1390 ,0.1208 ,0.0781 
17,local economic priorities and workforce needs,Others,0.2139 ,0.2139 ,0.1144 ,0.2055 ,0.1925 
17,existing educational systems and curricula,Others,0.3129 ,0.2986 ,0.2378 ,0.3129 ,0.2626 
18,generic ai literacy,Others,0.3126 ,0.3074 ,0.3126 ,0.2208 ,0.2106 
18,domainspecific ai literacy,Others,0.3739 ,0.3739 ,0.3593 ,0.3140 ,0.2214 
19,teaching,Others,0.3613 ,0.3423 ,0.3271 ,0.3613 ,0.1852 
19,central zone,Others,0.2429 ,0.1829 ,0.1272 ,0.1523 ,0.2429 
20,general vs narrow,Others,0.1426 ,0.1210 ,0.1372 ,0.1336 ,0.1426 
20,representations,Others,0.3556 ,0.3257 ,0.3556 ,0.3365 ,0.3505 
20,ml steps,Others,0.2795 ,0.2523 ,0.1229 ,0.2795 ,0.2634 
20,data literacy,Others,0.3376 ,0.3041 ,0.2696 ,0.3376 ,0.2427 
20,learning from data,Others,0.3681 ,0.2672 ,0.2205 ,0.3681 ,0.2729 
20,critically interpreting data,Others,0.3718 ,0.3718 ,0.3162 ,0.2689 ,0.3236 
20,sensors,Others,0.3994 ,0.3060 ,0.2080 ,0.3994 ,0.3689 
21,tracking,Others,0.3306 ,0.2479 ,0.2188 ,0.3101 ,0.3306 
21,disconnecting,Others,0.2689 ,0.1600 ,0.2117 ,0.1431 ,0.2689 
21,situational mapping,Others,0.3761 ,0.3761 ,0.2132 ,0.3179 ,0.3740 
21,writing ethnographic vignettes,Others,0.3072 ,0.3072 ,0.2712 ,0.1853 ,0.2193 
22,read,Others,0.3386 ,0.2669 ,0.2723 ,0.2082 ,0.3386 
22,write,Others,0.3032 ,0.2883 ,0.3032 ,0.2474 ,0.2730 
25,know and understand,Others,0.3441 ,0.3441 ,0.3142 ,0.2504 ,0.2115 
26,vocabulary,Others,0.3170 ,0.2262 ,0.2906 ,0.3170 ,0.2234 
26,jargon,Others,0.3589 ,0.3376 ,0.3589 ,0.2664 ,0.2561 
26,inner workings,Others,0.3687 ,0.3386 ,0.3185 ,0.3223 ,0.3687 
27,future prospects,Others,0.2828 ,0.2534 ,0.1821 ,0.2816 ,0.2828 
28,acquisition,Others,0.3947 ,0.3911 ,0.2951 ,0.3947 ,0.2663 
28,cleansing,Others,0.3267 ,0.2912 ,0.3267 ,0.2110 ,0.2342 
28,visualization,Others,0.3970 ,0.3970 ,0.2495 ,0.3604 ,0.3494 
28,sharing,Others,0.3192 ,0.2924 ,0.3192 ,0.1495 ,0.1935 
28,erasing,Others,0.2441 ,0.2298 ,0.2441 ,0.2076 ,0.2245 
31,domain,Others,0.3939 ,0.3939 ,0.3512 ,0.3100 ,0.2409 
31,internal support,Others,0.3928 ,0.3603 ,0.3928 ,0.3068 ,0.2317 
32,data,Others,0.3757 ,0.3757 ,0.2657 ,0.3041 ,0.3185 
32,time and chronology,Others,0.2587 ,0.2375 ,0.1549 ,0.1838 ,0.2587 
33,general vs narrow ai,Others,0.3940 ,0.2132 ,0.3230 ,0.3940 ,0.3109 
33,data literacy,Others,0.3376 ,0.3041 ,0.2696 ,0.3376 ,0.2427 
33,critically interpreting data,Others,0.3718 ,0.3718 ,0.3162 ,0.2689 ,0.3236 
33,sensors,Others,0.3994 ,0.3060 ,0.2080 ,0.3994 ,0.3689 
34,technological scientific knowledge,Others,0.3567 ,0.2257 ,0.2859 ,0.3567 ,0.3550 
36,curiosity,Others,0.3509 ,0.3509 ,0.3077 ,0.3459 ,0.2915 
36,continuity,Others,0.3764 ,0.2494 ,0.2405 ,0.2842 ,0.3764 
36,transmissional inquiry pathway,Others,0.3343 ,0.2616 ,0.2841 ,0.2813 ,0.3343 
38,threat appraisal,Others,0.3630 ,0.3538 ,0.3630 ,0.3014 ,0.2596 
41,content,Others,0.2636 ,0.2415 ,0.2573 ,0.2636 ,0.2042 
41,context,Others,0.3915 ,0.3915 ,0.2868 ,0.3532 ,0.3102 
41,values,Others,0.3489 ,0.3466 ,0.3489 ,0.3307 ,0.3135 
